                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4838,                 1.1143,                0.98987,                0.39598,                0.28951,                0.28667,                0.16244,                  1.415,                 1.0562,                0.96648,               0.006898,               0.006898,               0.006898
                     49,                 1.4872,                 1.1187,                0.98626,                0.39904,                0.29402,                0.28767,                0.16361,                 1.4149,                 1.0534,                0.96716,               0.006832,               0.006832,               0.006832
                     50,                 1.4818,                 1.1071,                0.98563,                0.40261,                0.29052,                0.28989,                0.16484,                 1.4138,                 1.0517,                0.96735,               0.006766,               0.006766,               0.006766
                     51,                 1.4744,                 1.1102,                0.98596,                0.38507,                0.28863,                 0.2848,                0.16263,                  1.416,                 1.0524,                0.96584,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.4609,                 1.0969,                0.98281,                0.38444,                0.29679,                0.28846,                0.16454,                 1.4063,                 1.0428,                0.96432,               0.006634,               0.006634,               0.006634
                     53,                 1.4681,                 1.0989,                0.98343,                0.39949,                0.29607,                0.29048,                0.16488,                 1.4086,                 1.0463,                0.96509,               0.006568,               0.006568,               0.006568
                     54,                 1.4661,                 1.1001,                0.98262,                0.38696,                0.30091,                0.29003,                0.16482,                 1.3997,                  1.043,                0.96191,               0.006502,               0.006502,               0.006502
                     55,                 1.4682,                 1.0985,                0.98185,                 0.3856,                0.29883,                0.28804,                0.16463,                 1.3984,                 1.0411,                0.96185,               0.006436,               0.006436,               0.006436
                     56,                 1.4622,                 1.0931,                0.98207,                0.39352,                0.30115,                0.29458,                0.16709,                 1.3996,                 1.0386,                0.96103,                0.00637,                0.00637,                0.00637
                     57,                 1.4571,                 1.0854,                0.98224,                0.40982,                0.29937,                0.29537,                0.16778,                 1.3919,                 1.0333,                0.95912,               0.006304,               0.006304,               0.006304
                     58,                 1.4576,                 1.0891,                0.98123,                0.41337,                0.29452,                0.29438,                 0.1677,                 1.3919,                 1.0333,                 0.9599,               0.006238,               0.006238,               0.006238
                     59,                 1.4526,                 1.0861,                0.97831,                0.40151,                0.30445,                0.29784,                0.16971,                 1.3899,                 1.0308,                0.95766,               0.006172,               0.006172,               0.006172
                     60,                 1.4425,                 1.0786,                0.97758,                0.40309,                0.30329,                0.29722,                0.16945,                 1.3857,                 1.0272,                0.95798,               0.006106,               0.006106,               0.006106
                     61,                 1.4453,                 1.0747,                0.97549,                0.39175,                0.30585,                0.29721,                0.17026,                 1.3888,                 1.0292,                0.95753,                0.00604,                0.00604,                0.00604
                     62,                 1.4559,                 1.0794,                0.97708,                0.40314,                 0.2996,                0.29779,                0.17076,                 1.3854,                 1.0291,                0.95741,               0.005974,               0.005974,               0.005974
                     63,                 1.4379,                 1.0661,                0.97417,                0.41618,                0.30167,                0.29961,                0.17065,                 1.3799,                 1.0248,                0.95567,               0.005908,               0.005908,               0.005908
                     64,                  1.443,                 1.0717,                0.97487,                0.40426,                0.30547,                0.30164,                0.17204,                 1.3838,                 1.0246,                0.95656,               0.005842,               0.005842,               0.005842
                     65,                 1.4322,                 1.0668,                0.97482,                0.41191,                0.30065,                0.30084,                 0.1716,                 1.3835,                  1.018,                0.95555,               0.005776,               0.005776,               0.005776
                     66,                 1.4361,                  1.064,                0.97258,                 0.4079,                0.30517,                 0.3021,                0.17182,                 1.3799,                 1.0224,                0.95517,                0.00571,                0.00571,                0.00571
                     67,                 1.4401,                 1.0642,                0.97336,                0.41026,                0.30592,                0.30338,                0.17341,                 1.3768,                 1.0172,                0.95481,               0.005644,               0.005644,               0.005644
                     68,                 1.4371,                 1.0572,                0.97188,                0.41248,                0.30243,                0.30062,                0.17344,                 1.3744,                 1.0139,                 0.9538,               0.005578,               0.005578,               0.005578
                     69,                 1.4188,                 1.0516,                0.97081,                0.41399,                0.30154,                0.30017,                0.17239,                 1.3787,                  1.019,                0.95393,               0.005512,               0.005512,               0.005512
                     70,                 1.4282,                   1.05,                0.96875,                0.41189,                0.30518,                0.30157,                0.17329,                 1.3748,                  1.013,                0.95344,               0.005446,               0.005446,               0.005446
                     71,                 1.4326,                 1.0497,                0.97001,                0.40858,                0.30662,                0.30451,                0.17487,                 1.3713,                 1.0122,                0.95207,                0.00538,                0.00538,                0.00538
                     72,                 1.4323,                 1.0614,                0.97072,                0.41534,                0.30776,                0.30437,                0.17483,                 1.3686,                 1.0109,                0.95193,               0.005314,               0.005314,               0.005314
                     73,                  1.413,                 1.0387,                0.96764,                0.41608,                 0.3063,                0.30525,                0.17528,                  1.368,                 1.0109,                0.95186,               0.005248,               0.005248,               0.005248
                     74,                 1.4241,                 1.0442,                 0.9669,                0.41127,                0.31205,                0.30727,                0.17677,                 1.3658,                 1.0081,                0.95145,               0.005182,               0.005182,               0.005182
                     75,                 1.4171,                 1.0393,                0.96773,                0.41353,                0.31018,                0.30804,                0.17717,                 1.3689,                  1.008,                 0.9508,               0.005116,               0.005116,               0.005116
                     76,                 1.4214,                  1.041,                0.96845,                0.41054,                0.31099,                0.30895,                0.17724,                 1.3632,                 1.0052,                0.95044,                0.00505,                0.00505,                0.00505
                     77,                 1.4161,                 1.0328,                0.96894,                0.41497,                0.31151,                0.31077,                0.17851,                 1.3661,                 1.0049,                0.95165,               0.004984,               0.004984,               0.004984
                     78,                 1.4113,                 1.0301,                0.96488,                0.41726,                0.30823,                 0.3104,                0.17792,                 1.3663,                 1.0056,                0.95089,               0.004918,               0.004918,               0.004918
                     79,                  1.412,                 1.0318,                0.96776,                0.42728,                0.30804,                 0.3103,                0.17826,                 1.3614,                 1.0042,                0.94986,               0.004852,               0.004852,               0.004852
                     80,                 1.4088,                 1.0316,                0.96589,                0.42276,                0.30792,                0.30959,                0.17814,                 1.3614,                 1.0017,                0.95004,               0.004786,               0.004786,               0.004786
