                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.4144,                 1.0664,                0.97789,                0.42254,                0.30625,                0.30718,                0.17768,                 1.3386,                0.99953,                0.95241,               0.006238,               0.006238,               0.006238
                     59,                 1.4138,                 1.0683,                0.97486,                0.42622,                0.31086,                0.30718,                0.17696,                 1.3428,                 1.0018,                0.95049,               0.006172,               0.006172,               0.006172
                     60,                 1.4047,                 1.0663,                0.97217,                0.41069,                0.31254,                0.30598,                0.17779,                 1.3426,                 1.0038,                 0.9514,               0.006106,               0.006106,               0.006106
                     61,                 1.4076,                 1.0623,                0.96923,                0.40514,                0.31853,                0.30663,                0.17746,                 1.3447,                 1.0022,                0.94929,                0.00604,                0.00604,                0.00604
                     62,                 1.4196,                 1.0708,                0.97095,                0.41669,                0.31431,                0.30809,                  0.177,                 1.3428,                 1.0057,                 0.9486,               0.005974,               0.005974,               0.005974
                     63,                 1.4041,                 1.0582,                0.96718,                0.41272,                0.31359,                0.30856,                0.17935,                 1.3364,                0.99909,                0.94565,               0.005908,               0.005908,               0.005908
                     64,                 1.4078,                 1.0656,                0.96681,                0.42023,                0.31693,                0.30909,                0.17903,                 1.3369,                0.99974,                0.94565,               0.005842,               0.005842,               0.005842
                     65,                 1.3959,                 1.0593,                 0.9668,                0.41959,                0.31668,                0.31077,                0.18049,                 1.3333,                0.99634,                0.94458,               0.005776,               0.005776,               0.005776
                     66,                 1.3975,                 1.0563,                0.96315,                0.41674,                0.31441,                0.31153,                0.18114,                 1.3355,                0.99715,                0.94441,                0.00571,                0.00571,                0.00571
                     67,                  1.403,                 1.0584,                0.96439,                0.42401,                0.32058,                0.31444,                0.18215,                 1.3325,                0.99176,                  0.944,               0.005644,               0.005644,               0.005644
                     68,                 1.3992,                 1.0496,                0.96236,                0.41271,                 0.3203,                0.31456,                0.18226,                 1.3305,                0.99103,                0.94267,               0.005578,               0.005578,               0.005578
                     69,                 1.3846,                 1.0455,                0.96138,                0.41334,                0.31818,                0.31391,                0.18167,                 1.3304,                0.98611,                0.94212,               0.005512,               0.005512,               0.005512
                     70,                 1.3889,                 1.0433,                0.95838,                0.42103,                  0.324,                0.31599,                0.18325,                 1.3259,                0.98656,                0.94094,               0.005446,               0.005446,               0.005446
                     71,                 1.3936,                 1.0423,                0.95998,                0.42539,                0.32208,                0.31712,                0.18343,                 1.3254,                0.98548,                0.94087,                0.00538,                0.00538,                0.00538
                     72,                 1.3955,                 1.0545,                 0.9606,                0.42571,                0.32348,                0.31914,                0.18565,                 1.3203,                0.98138,                0.93985,               0.005314,               0.005314,               0.005314
                     73,                 1.3747,                 1.0326,                0.95693,                0.41569,                0.32333,                0.31713,                0.18464,                   1.32,                0.98145,                0.93937,               0.005248,               0.005248,               0.005248
                     74,                 1.3874,                  1.037,                0.95684,                 0.4287,                0.32653,                0.31925,                0.18649,                 1.3166,                0.97885,                0.93893,               0.005182,               0.005182,               0.005182
                     75,                 1.3772,                 1.0315,                0.95633,                0.43159,                0.32267,                0.32031,                0.18592,                 1.3229,                0.97795,                0.94026,               0.005116,               0.005116,               0.005116
                     76,                 1.3843,                 1.0346,                 0.9579,                0.42112,                0.32464,                0.31891,                0.18572,                  1.321,                0.97758,                0.93919,                0.00505,                0.00505,                0.00505
                     77,                  1.379,                 1.0253,                0.95821,                 0.4337,                0.32203,                0.32238,                0.18781,                 1.3162,                0.97327,                0.93876,               0.004984,               0.004984,               0.004984
                     78,                 1.3723,                 1.0233,                0.95371,                0.43114,                0.32448,                0.32277,                0.18685,                 1.3204,                0.97508,                0.93904,               0.004918,               0.004918,               0.004918
                     79,                 1.3751,                 1.0242,                0.95666,                 0.4275,                0.32493,                0.32199,                0.18669,                 1.3173,                0.97354,                0.93756,               0.004852,               0.004852,               0.004852
                     80,                 1.3695,                 1.0232,                0.95475,                0.44296,                0.32262,                0.32349,                0.18885,                 1.3143,                0.97126,                 0.9375,               0.004786,               0.004786,               0.004786
                     81,                 1.3774,                 1.0316,                0.95525,                0.44053,                0.32328,                0.32523,                0.19019,                 1.3138,                0.96952,                0.93727,                0.00472,                0.00472,                0.00472
                     82,                 1.3676,                 1.0193,                0.95251,                0.43153,                 0.3263,                0.32502,                0.18896,                 1.3122,                0.96739,                0.93677,               0.004654,               0.004654,               0.004654
                     83,                 1.3716,                 1.0214,                0.95288,                0.43778,                0.32606,                 0.3257,                0.18973,                  1.314,                0.96744,                0.93642,               0.004588,               0.004588,               0.004588
                     84,                  1.362,                 1.0152,                0.95194,                0.43534,                0.32721,                0.32518,                0.18962,                 1.3116,                0.96714,                0.93601,               0.004522,               0.004522,               0.004522
                     85,                 1.3674,                 1.0173,                 0.9513,                0.43025,                0.32864,                0.32732,                0.19055,                 1.3109,                0.96635,                0.93617,               0.004456,               0.004456,               0.004456
                     86,                 1.3698,                 1.0177,                0.95194,                0.43022,                0.32892,                0.32604,                0.19013,                 1.3114,                0.96738,                 0.9358,                0.00439,                0.00439,                0.00439
                     87,                 1.3574,                 1.0117,                0.95148,                0.43728,                0.32609,                0.32938,                0.19112,                 1.3112,                0.96545,                0.93603,               0.004324,               0.004324,               0.004324
                     88,                 1.3588,                 1.0073,                0.95159,                0.44316,                0.32325,                0.32805,                0.19112,                 1.3091,                0.96542,                0.93559,               0.004258,               0.004258,               0.004258
                     89,                 1.3762,                 1.0216,                 0.9519,                 0.4324,                0.33054,                0.32785,                0.19107,                 1.3081,                0.96506,                0.93562,               0.004192,               0.004192,               0.004192
                     90,                 1.3528,                 1.0061,                0.94978,                0.43081,                0.33121,                0.32908,                0.19183,                  1.308,                0.96328,                0.93498,               0.004126,               0.004126,               0.004126
                     91,                 1.3598,                 1.0097,                0.95006,                0.43566,                0.33159,                0.33024,                0.19273,                  1.307,                 0.9623,                0.93476,                0.00406,                0.00406,                0.00406
                     92,                 1.3583,                 1.0052,                0.94961,                0.43228,                0.33253,                0.32949,                0.19245,                 1.3058,                 0.9611,                0.93474,               0.003994,               0.003994,               0.003994
                     93,                 1.3517,                 1.0001,                0.94843,                0.43594,                0.33465,                0.32987,                0.19301,                  1.304,                0.95898,                0.93392,               0.003928,               0.003928,               0.003928
                     94,                 1.3491,                 0.9976,                 0.9473,                 0.4298,                0.33324,                0.33007,                0.19326,                 1.3047,                0.95749,                0.93371,               0.003862,               0.003862,               0.003862
                     95,                 1.3544,                0.99789,                0.94913,                0.43204,                0.33387,                0.33216,                0.19434,                 1.3036,                0.95645,                0.93366,               0.003796,               0.003796,               0.003796
                     96,                 1.3577,                 1.0019,                0.94885,                0.43193,                0.33222,                0.33268,                0.19463,                 1.3017,                 0.9563,                0.93257,                0.00373,                0.00373,                0.00373
                     97,                 1.3531,                0.99439,                0.94482,                0.43062,                0.33657,                0.33289,                0.19493,                 1.3015,                0.95607,                0.93248,               0.003664,               0.003664,               0.003664
                     98,                 1.3462,                 0.9903,                0.94554,                0.43329,                0.33587,                0.33299,                0.19476,                 1.3017,                0.95596,                0.93234,               0.003598,               0.003598,               0.003598
                     99,                 1.3482,                0.99292,                0.94713,                0.43655,                0.33372,                0.33292,                0.19412,                 1.3017,                0.95507,                0.93193,               0.003532,               0.003532,               0.003532
                    100,                 1.3465,                0.99424,                0.94635,                0.43749,                0.33573,                0.33443,                 0.1945,                 1.3016,                0.95466,                0.93212,               0.003466,               0.003466,               0.003466
                    101,                 1.3439,                0.99218,                0.94553,                0.43575,                0.33761,                0.33416,                0.19478,                    1.3,                0.95393,                0.93207,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.3427,                0.99017,                0.94658,                0.44393,                0.33637,                0.33485,                0.19579,                 1.2999,                0.95248,                0.93214,               0.003334,               0.003334,               0.003334
                    103,                 1.3352,                0.98413,                0.94311,                0.43935,                0.33866,                 0.3337,                0.19446,                 1.2985,                0.95193,                0.93147,               0.003268,               0.003268,               0.003268
                    104,                 1.3524,                0.99443,                0.94786,                0.43465,                0.33996,                0.33446,                0.19539,                 1.2987,                0.95133,                0.93154,               0.003202,               0.003202,               0.003202
                    105,                 1.3388,                0.98615,                0.94434,                0.43556,                0.34053,                0.33511,                0.19565,                 1.2992,                0.95146,                0.93143,               0.003136,               0.003136,               0.003136
                    106,                 1.3358,                0.98303,                0.94427,                0.43323,                0.34224,                0.33615,                0.19641,                  1.298,                0.94978,                0.93108,                0.00307,                0.00307,                0.00307
                    107,                 1.3357,                0.97777,                0.94367,                0.43469,                0.34266,                0.33599,                0.19643,                 1.2973,                0.94896,                0.93117,               0.003004,               0.003004,               0.003004
                    108,                 1.3429,                0.98465,                0.94393,                0.43286,                0.34067,                0.33613,                 0.1962,                 1.2974,                0.94944,                0.93106,               0.002938,               0.002938,               0.002938
                    109,                 1.3414,                0.98166,                0.94458,                0.43513,                0.34004,                 0.3365,                0.19652,                 1.2975,                0.94917,                0.93093,               0.002872,               0.002872,               0.002872
                    110,                 1.3458,                0.98116,                0.94405,                0.43697,                0.33974,                0.33635,                0.19666,                 1.2967,                 0.9478,                0.93061,               0.002806,               0.002806,               0.002806
                    111,                 1.3395,                0.98256,                 0.9429,                0.43696,                0.34103,                0.33712,                0.19697,                 1.2951,                0.94716,                0.93036,                0.00274,                0.00274,                0.00274
                    112,                 1.3221,                0.97108,                0.94072,                 0.4341,                0.34021,                0.33716,                0.19733,                 1.2946,                0.94702,                 0.9302,               0.002674,               0.002674,               0.002674
                    113,                 1.3352,                0.97078,                0.94164,                0.44146,                0.34008,                0.33685,                0.19789,                  1.294,                0.94686,                0.92998,               0.002608,               0.002608,               0.002608
                    114,                  1.329,                0.97278,                0.94092,                0.43603,                0.34181,                0.33741,                0.19817,                 1.2927,                 0.9461,                0.92993,               0.002542,               0.002542,               0.002542
                    115,                 1.3322,                0.97101,                0.94219,                0.43619,                0.34194,                0.33776,                0.19781,                 1.2931,                0.94673,                0.93014,               0.002476,               0.002476,               0.002476
                    116,                 1.3398,                0.97406,                0.94253,                0.43495,                0.34486,                0.33839,                0.19791,                 1.2933,                0.94675,                0.93003,                0.00241,                0.00241,                0.00241
                    117,                 1.3278,                0.96743,                0.93983,                0.43433,                0.34458,                0.33806,                0.19758,                 1.2928,                0.94632,                0.93005,               0.002344,               0.002344,               0.002344
                    118,                 1.3301,                0.96697,                0.93988,                0.43974,                0.34211,                0.33789,                 0.1981,                 1.2924,                0.94545,                 0.9299,               0.002278,               0.002278,               0.002278
                    119,                 1.3297,                0.97144,                0.94134,                0.43949,                0.34247,                0.33791,                 0.1984,                 1.2926,                0.94498,                0.92984,               0.002212,               0.002212,               0.002212
                    120,                 1.3226,                 0.9645,                 0.9413,                0.43889,                0.34302,                0.33851,                0.19858,                  1.293,                 0.9455,                0.92986,               0.002146,               0.002146,               0.002146
                    121,                 1.3343,                0.97084,                0.94042,                0.44058,                0.34244,                0.33888,                0.19893,                  1.293,                 0.9451,                 0.9301,                0.00208,                0.00208,                0.00208
                    122,                 1.3211,                0.96115,                0.93826,                0.43897,                0.34297,                 0.3386,                0.19865,                 1.2931,                0.94454,                 0.9299,               0.002014,               0.002014,               0.002014
                    123,                 1.3221,                0.96113,                0.93912,                0.44158,                0.34303,                0.33951,                0.19885,                  1.293,                0.94427,                0.92988,               0.001948,               0.001948,               0.001948
                    124,                 1.3267,                0.96288,                0.94114,                0.44171,                0.34159,                0.33924,                0.19905,                 1.2929,                0.94362,                0.92973,               0.001882,               0.001882,               0.001882
                    125,                 1.3163,                0.95044,                0.93628,                  0.442,                0.34107,                0.33954,                0.19922,                 1.2928,                0.94374,                0.92974,               0.001816,               0.001816,               0.001816
                    126,                 1.3165,                0.95069,                0.93873,                0.44354,                0.34072,                0.33973,                0.19922,                  1.292,                0.94336,                0.92966,                0.00175,                0.00175,                0.00175
                    127,                 1.3133,                0.95544,                0.93765,                0.44368,                0.34143,                0.34015,                 0.1996,                 1.2917,                0.94299,                0.92947,               0.001684,               0.001684,               0.001684
                    128,                 1.3143,                0.95225,                0.93416,                0.44154,                0.34192,                0.34042,                0.19967,                 1.2918,                0.94279,                0.92943,               0.001618,               0.001618,               0.001618
                    129,                  1.308,                0.94598,                0.93582,                0.43993,                0.34261,                0.34004,                0.19987,                 1.2917,                0.94283,                0.92939,               0.001552,               0.001552,               0.001552
                    130,                 1.3171,                0.95204,                0.93873,                0.43765,                0.34459,                0.34013,                0.19968,                 1.2915,                0.94209,                0.92926,               0.001486,               0.001486,               0.001486
                    131,                 1.3232,                0.95656,                0.93719,                0.43955,                0.34321,                0.34074,                0.19989,                 1.2913,                0.94199,                0.92926,                0.00142,                0.00142,                0.00142
                    132,                 1.3135,                 0.9466,                0.93706,                0.44024,                0.34306,                0.34061,                0.19983,                 1.2917,                0.94206,                0.92927,               0.001354,               0.001354,               0.001354
